DateID,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011,-3.63,-2.12,-1.49,-1.93,1.23,0.83
199012,-2.06,0.13,0.47,-0.02,-1.09,-1.53
199101,-1.44,-2.38,-1.68,3.51,2.91,1.26
199102,15.34,8.03,6.60,11.21,7.83,4.95
199103,-3.87,-4.60,-4.48,-6.69,-7.09,-5.62
199104,-2.05,-0.35,0.75,-0.54,-0.42,-0.23
199105,-2.54,-1.79,-0.98,2.64,2.05,-0.19
199106,-7.04,-6.24,-5.86,-6.59,-7.79,-6.68
199107,1.29,3.50,5.21,2.56,5.01,8.77
199108,0.31,0.91,7.35,1.43,2.13,1.93
199109,3.13,5.16,8.66,1.56,2.92,4.50
199110,-4.59,-3.30,-0.15,-2.84,-2.40,-1.13
199111,-1.97,-0.79,-0.26,-1.43,-1.76,-2.29
199112,3.08,3.07,3.55,4.60,7.31,7.98
199201,-1.04,-1.23,-0.35,-0.30,0.16,0.49
199202,-0.79,-0.33,0.65,-1.19,-0.13,0.38
199203,-3.39,-1.72,-2.35,-3.13,-3.49,-3.04
199204,2.15,3.49,6.43,5.89,5.15,5.36
199205,4.18,5.26,7.00,5.38,5.86,4.71
199206,-2.59,0.84,0.62,-4.28,0.13,-0.67
199207,-6.41,-4.03,-5.03,-6.91,-3.15,-3.03
199208,-3.64,-0.67,0.11,-2.77,-0.51,1.31
199209,-8.50,-4.40,-4.58,-5.29,-2.14,-0.95
199210,-7.21,-9.76,-10.38,-4.82,-7.89,-8.06
199211,-2.71,-2.90,-1.78,0.62,0.22,-0.91
199212,1.29,1.62,1.41,0.25,1.09,2.47
199301,4.37,3.58,5.08,3.17,0.02,-0.25
199302,1.03,-0.14,0.67,2.54,2.24,0.18
199303,6.05,6.50,8.57,4.68,4.22,7.94
199304,7.04,4.30,6.03,3.59,1.93,0.63
199305,1.63,0.69,1.37,0.19,0.45,2.49
199306,-5.67,-4.27,-3.40,-3.12,-3.17,-1.72
199307,1.19,-0.64,1.54,1.00,1.30,1.48
199308,10.38,8.72,9.05,8.98,9.36,7.69
199309,-0.11,1.04,1.52,-1.79,-0.33,0.38
199310,-0.68,1.21,1.93,1.98,3.53,2.90
199311,-1.50,-1.39,-1.74,-1.54,-1.96,-2.95
199312,5.31,5.45,6.19,7.47,7.12,8.77
199401,10.85,10.80,13.22,6.03,4.13,8.17
199402,1.13,0.21,0.98,-2.51,-4.06,-4.22
199403,0.27,-0.50,-3.60,-1.80,-2.95,-2.91
199404,3.43,3.83,3.86,4.05,4.63,3.58
199405,-2.44,-1.86,-2.27,-4.10,-3.52,-4.44
199406,-0.88,-0.94,-1.72,-0.37,-0.82,-1.57
199407,1.58,2.01,3.18,5.38,5.53,4.37
199408,1.20,1.58,1.49,2.83,2.30,1.45
199409,-1.11,-0.75,-0.17,-4.15,-3.47,-2.79
199410,1.28,0.96,1.30,4.02,4.25,4.56
199411,-3.71,-4.60,-4.16,-3.14,-4.53,-5.04
199412,0.04,1.22,0.92,-0.21,0.61,0.66
199501,-0.42,0.20,1.30,-2.81,-0.68,-0.15
199502,0.58,1.32,2.59,1.72,2.54,2.94
199503,0.71,2.53,3.42,5.37,4.74,2.19
199504,1.30,1.11,1.71,4.10,2.45,3.69
199505,2.82,2.26,1.38,2.12,2.41,2.34
199506,0.72,1.38,3.63,-0.79,1.16,3.07
199507,2.22,2.88,4.06,4.65,4.29,4.76
199508,-3.22,-3.08,-1.13,-4.15,-4.26,-2.47
199509,-0.49,2.77,5.17,-0.51,2.40,5.46
199510,-3.26,-0.73,1.41,-3.26,-0.33,1.21
199511,-3.78,-1.45,-1.79,-1.02,-0.12,1.27
199512,1.56,1.08,1.73,2.53,3.50,1.69
199601,0.73,-0.24,2.05,2.40,0.88,-0.37
199602,2.79,3.38,5.19,1.83,1.44,2.93
199603,0.44,2.11,2.87,0.00,0.72,2.77
199604,0.01,1.63,2.56,1.25,0.90,1.04
199605,2.19,2.51,5.55,0.81,2.16,1.62
199606,-0.61,1.37,0.71,0.08,0.49,1.33
199607,-0.72,-1.41,-2.36,-0.02,-1.15,-2.39
199608,0.51,1.66,3.68,1.24,3.36,3.32
199609,-2.46,-0.51,1.28,1.43,1.40,2.52
199610,0.61,3.13,4.81,0.50,2.25,3.25
199611,1.10,3.22,3.32,4.35,4.87,4.86
199612,1.65,2.50,3.39,1.11,3.16,2.66
199701,0.26,0.52,1.99,1.25,-1.34,1.07
199702,0.36,1.60,3.29,1.20,2.23,-0.59
199703,1.79,1.35,1.47,3.20,3.02,1.61
199704,-2.44,-1.80,-1.57,-1.20,-1.21,2.05
199705,2.92,3.59,4.01,2.75,4.16,6.10
199706,0.52,1.86,1.12,3.83,4.22,5.07
199707,-1.55,-1.27,-1.04,1.64,3.77,6.21
199708,1.25,-0.57,0.45,-2.19,-5.93,-5.87
199709,5.17,5.34,9.11,7.34,8.91,11.24
199710,-0.43,-0.11,-1.37,-4.51,-4.09,-6.46
199711,-2.02,-1.28,-1.24,2.38,1.64,0.54
199712,-1.38,0.13,0.63,0.59,3.27,4.41
199801,1.39,2.49,3.04,-0.34,3.13,5.90
199802,5.15,6.11,8.28,8.13,8.42,7.76
199803,6.17,8.40,11.67,7.74,7.88,6.58
199804,4.43,3.93,4.96,5.04,2.16,1.96
199805,3.26,3.93,5.83,2.99,2.27,2.38
199806,-4.14,-3.30,-3.97,-2.21,0.53,2.33
199807,-2.44,-1.34,2.35,-1.38,2.11,6.47
199808,-10.79,-9.60,-11.41,-10.86,-11.26,-13.98
199809,-4.56,-4.10,-4.42,1.13,-3.10,-9.27
199810,2.29,2.02,2.94,6.67,8.43,6.50
199811,0.56,2.47,5.78,4.11,5.09,4.76
199812,-0.67,1.17,1.92,0.53,2.28,7.60
199901,-0.79,-2.64,4.12,-2.31,-2.37,4.65
199902,0.10,-0.92,1.24,1.37,-2.53,-3.61
199903,3.13,0.08,-2.55,6.06,1.12,-4.05
199904,8.12,2.00,2.84,8.67,3.95,-0.95
199905,-0.91,-0.62,3.74,-4.87,-4.55,-2.80
199906,1.91,1.54,4.37,2.71,1.41,2.49
199907,2.31,2.85,9.54,1.51,1.04,1.56
199908,1.57,1.98,12.98,2.11,1.73,0.30
199909,-0.95,1.48,2.91,0.67,-1.19,0.03
199910,-2.07,-1.24,3.83,0.08,2.40,5.52
199911,-3.02,-0.07,8.47,-3.26,2.01,10.58
199912,4.39,6.01,5.55,6.05,6.69,17.13
200001,-2.88,-0.59,1.41,-11.87,-8.73,-3.86
200002,3.47,0.74,8.77,0.28,3.62,12.10
200003,1.88,1.57,-7.50,6.60,5.80,-6.59
200004,-3.44,-4.44,-14.43,-1.64,-2.78,-8.94
200005,3.19,3.57,-0.55,5.60,2.17,-4.31
200006,1.04,1.39,2.16,1.76,1.98,-0.40
200007,-1.44,-0.87,-1.40,-0.80,0.71,-2.89
200008,-3.07,-1.19,3.74,-0.99,-1.03,-1.24
200009,-1.62,-1.63,-2.82,-1.87,-2.44,-8.85
200010,-7.28,-4.37,-9.57,3.19,-1.43,-4.08
200011,-3.30,-0.27,-8.89,-4.42,-0.59,-8.81
200012,5.92,7.27,6.74,5.74,6.46,6.65
200101,4.06,2.38,1.75,6.42,-0.30,-4.53
200102,-7.10,-1.53,-3.08,-15.98,-6.54,-4.66
200103,-12.72,-7.24,-8.74,-11.31,-8.14,-7.27
200104,5.54,4.70,5.78,12.80,6.29,4.43
200105,-4.75,-1.55,0.32,-10.01,-2.47,-1.76
200106,-10.95,-1.27,-1.62,-8.29,-1.58,1.27
200107,-4.37,0.68,-0.77,-0.34,0.27,-0.92
200108,-2.89,1.87,3.09,-8.18,1.02,2.28
200109,-22.65,-11.19,-11.36,-15.88,-10.19,-7.54
200110,9.62,2.77,3.21,8.91,0.55,2.00
200111,12.52,4.16,2.34,10.82,1.18,1.66
200112,-0.75,1.41,1.74,0.53,2.54,3.50
200201,-4.37,-1.73,0.21,-8.60,-3.49,-1.25
200202,-3.74,1.60,3.46,-2.81,2.12,1.84
200203,5.54,4.41,4.47,7.44,4.74,3.42
200204,-0.06,3.64,4.80,-5.69,1.80,1.43
200205,-0.22,3.43,3.84,-2.26,0.67,3.35
200206,-6.84,0.54,2.19,-6.12,-1.39,1.02
200207,-11.51,-6.98,-6.01,-12.54,-10.37,-8.61
200208,-3.28,-1.26,0.65,-0.06,0.68,0.32
200209,-19.12,-9.28,-5.67,-19.89,-11.32,-6.03
200210,5.50,1.66,3.04,14.11,7.07,4.35
200211,10.83,3.93,3.76,10.45,2.75,-0.19
200212,-5.45,1.98,4.90,-8.50,-1.64,3.12
200301,-2.20,-1.42,0.44,-2.84,-4.66,-1.44
200302,-7.22,-3.17,-1.20,-7.32,-1.51,-1.03
200303,-1.88,-0.77,0.45,-2.77,-0.98,-0.66
200304,21.38,11.79,7.36,20.55,11.95,5.62
200305,13.58,10.11,9.17,8.23,6.95,7.87
200306,5.93,3.37,1.67,2.89,1.55,-2.21
200307,6.22,1.89,1.83,3.91,1.19,-0.89
200308,5.04,1.91,2.55,1.29,-0.51,-0.90
200309,5.49,5.56,6.66,2.20,2.57,2.89
200310,4.31,4.97,8.34,3.28,7.06,10.39
200311,4.11,4.49,4.97,4.45,5.14,3.41
200312,5.06,6.14,5.84,8.29,7.16,6.12
200401,4.78,4.85,8.32,0.95,2.25,4.82
200402,3.31,4.41,4.57,3.31,2.98,2.90
200403,-1.99,-1.43,-4.19,-2.27,-3.56,-4.86
200404,-1.36,-1.18,-2.49,0.34,-2.12,-2.06
200405,0.41,1.21,-0.11,1.33,1.78,1.49
200406,1.56,2.72,3.49,1.46,2.02,3.69
200407,-3.75,-1.73,-3.13,-3.65,-2.36,-3.55
200408,-1.33,0.71,0.35,0.62,0.09,1.46
200409,3.29,3.97,5.43,2.57,4.80,5.22
200410,4.04,4.15,4.77,4.30,4.25,3.58
200411,8.81,8.56,10.03,6.71,6.54,7.27
200412,3.94,4.97,6.16,3.76,5.39,3.28
200501,2.24,1.98,2.84,-2.05,-1.20,-0.90
200502,4.14,5.05,6.62,4.25,4.98,4.94
200503,-3.93,-2.10,-1.31,-1.43,-2.71,-3.44
200504,-3.46,-2.14,-1.52,-2.81,-1.90,-3.02
200505,-2.17,-1.35,0.13,0.35,0.14,1.29
200506,0.72,1.99,3.98,0.38,1.91,3.68
200507,3.84,3.88,6.06,4.28,3.70,4.34
200508,3.09,4.05,5.77,1.48,1.79,4.17
200509,-0.18,1.79,3.14,0.87,2.06,3.40
200510,-3.42,-3.16,-4.39,-2.02,-3.27,-4.55
200511,0.45,1.42,1.97,0.53,2.35,1.73
200512,3.57,3.86,6.01,3.98,4.02,4.54
200601,7.66,7.51,10.75,3.96,6.93,9.32
200602,1.81,2.54,4.25,1.71,0.06,0.77
200603,3.93,4.69,6.73,3.99,3.85,5.76
200604,5.41,6.17,9.21,4.81,5.26,6.90
200605,-2.63,-3.54,-5.48,-1.68,-3.69,-4.55
200606,-1.13,-0.39,-2.34,0.79,0.26,-0.42
200607,-0.63,0.35,-0.11,1.31,2.04,1.00
200608,3.72,2.62,2.75,1.83,4.24,2.48
200609,0.51,1.47,1.27,0.70,0.89,2.36
200610,3.47,4.62,4.96,4.46,3.86,4.20
200611,5.45,6.04,7.81,3.73,3.72,4.79
200612,3.30,4.81,5.40,2.49,3.69,6.02
