DateID,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199605,35.13,41.77,47.75,45.96,45.58,198.36,210.40,201.33,199.87,202.62,455.64,444.40,455.90,462.41,468.20,1162.28,1136.52,1098.52,1103.73,1165.89,5432.27,6217.63,8067.83,7806.25,7717.23
199606,36.10,44.89,44.75,46.64,47.27,211.43,199.83,209.95,200.05,204.47,464.69,454.74,461.56,484.43,475.10,1158.65,1086.40,1121.20,1097.98,1166.75,5542.14,6469.18,8654.48,7616.76,7162.06
199607,36.79,41.66,45.21,46.31,44.68,213.99,197.30,199.44,203.30,200.86,458.14,439.86,468.89,457.73,476.56,1121.82,1135.28,1087.67,1164.40,1144.59,6109.82,6531.35,8074.43,8079.65,6994.72
199608,37.03,39.84,43.17,46.97,43.64,200.62,208.79,181.94,200.53,200.88,443.01,429.82,473.29,464.80,459.99,1144.14,1143.22,1096.86,1141.02,1128.86,6158.61,6320.99,7823.53,9148.65,6574.82
199609,37.82,41.00,44.13,46.90,41.82,204.60,212.01,197.89,204.13,202.63,453.55,458.90,486.90,491.60,473.52,1173.45,1174.78,1128.51,1232.56,1164.03,5517.90,6822.57,7744.55,10160.90,6753.60
199610,36.95,41.78,44.73,46.78,42.57,205.83,213.70,197.35,198.83,210.43,473.36,469.42,483.83,484.46,492.48,1163.13,1235.21,1215.23,1235.46,1149.42,5799.33,8116.81,7054.65,10038.72,7699.60
199611,37.87,41.06,45.53,49.56,42.42,218.05,204.73,205.81,214.06,209.23,476.48,479.48,489.25,519.28,506.86,1153.90,1187.76,1208.40,1286.12,1194.13,6284.27,7355.76,8264.34,9577.84,7884.58
199612,37.81,41.97,50.18,49.17,47.41,224.39,203.21,224.82,222.26,221.67,502.15,521.70,539.40,515.58,526.23,1249.49,1288.58,1273.27,1349.17,1275.22,7846.64,7534.76,9469.56,11014.08,7345.76
199701,38.59,46.06,48.93,49.69,49.80,229.43,217.27,218.29,229.13,224.93,517.48,515.20,527.55,538.25,554.51,1290.38,1340.94,1321.26,1373.65,1387.12,7944.78,6270.22,10120.36,10928.97,9086.16
199702,38.34,45.31,48.11,50.35,48.60,223.29,227.05,232.56,224.25,219.12,510.98,513.45,507.13,528.32,534.65,1278.85,1326.26,1251.48,1302.04,1339.12,6975.43,7586.20,8641.90,11116.56,9151.71
199703,38.20,44.44,51.25,50.81,49.64,229.37,227.81,219.42,224.88,224.18,511.20,519.21,548.75,505.90,527.58,1335.43,1294.98,1386.13,1256.65,1346.22,6620.42,7228.49,8902.06,10127.38,11203.30
199704,39.69,46.09,45.48,55.59,50.30,236.20,223.29,227.16,226.68,229.13,525.22,546.03,559.77,515.10,524.88,1405.26,1278.42,1361.40,1280.84,1361.63,6045.35,10147.83,7654.03,10992.12,10212.49
199705,38.43,47.15,49.85,48.41,50.26,242.41,219.09,224.76,227.97,225.45,528.35,516.47,539.36,519.46,558.54,1364.61,1334.84,1330.91,1340.67,1391.52,5500.51,7996.00,9400.32,10766.53,11705.92
199706,39.88,48.30,50.87,53.02,50.24,244.27,242.49,235.01,241.28,240.14,546.93,578.04,570.39,538.56,571.86,1429.73,1350.75,1403.07,1460.33,1402.92,5099.26,7824.73,11339.48,11074.10,12925.57
199707,41.48,48.33,52.19,53.89,51.80,255.59,251.38,244.54,250.22,252.52,569.99,614.87,581.51,566.32,614.62,1505.76,1450.78,1590.89,1508.58,1575.63,5454.28,8570.92,11012.22,13763.58,13097.63
199708,41.94,49.42,53.18,56.13,58.38,269.15,249.86,252.81,277.47,258.83,633.16,627.74,635.27,635.62,648.70,1634.86,1542.93,1724.53,1702.78,1705.79,5520.53,9088.80,11453.61,12016.46,16060.03
199709,40.28,49.03,55.44,51.90,54.21,248.86,241.92,247.82,247.64,250.20,570.12,578.67,572.23,594.70,609.30,1411.97,1477.92,1497.28,1590.03,1592.97,4808.27,6939.37,8969.36,13232.64,14369.21
199710,42.27,53.78,56.79,56.71,57.77,270.25,261.33,271.13,275.06,273.30,647.46,661.62,650.12,648.45,676.08,1639.55,1719.28,1674.74,1664.77,1666.66,5520.24,10442.33,11109.43,14896.60,13975.69
199711,41.07,50.26,54.72,55.96,57.86,255.87,254.21,262.30,259.05,261.12,584.52,619.89,636.14,619.62,640.25,1533.54,1500.48,1601.52,1581.66,1569.41,5008.88,8813.33,10100.69,14594.02,13462.51
199712,40.64,49.42,52.40,56.72,55.84,266.73,257.34,256.51,265.79,266.59,605.34,651.25,630.06,592.89,657.56,1607.61,1606.29,1514.36,1689.13,1562.11,8112.25,9142.13,9701.18,16067.09,13176.21
199801,41.03,50.78,54.90,60.03,55.52,275.71,274.78,278.98,271.84,282.25,662.08,685.84,654.43,663.45,698.18,1723.40,1819.27,1709.65,1715.32,1768.10,7028.11,9002.28,12688.80,14890.15,14846.83
199802,43.67,52.06,55.43,58.45,57.45,288.74,281.39,283.87,293.91,294.48,698.06,665.51,689.06,717.98,694.17,1717.97,1857.14,2012.53,1681.78,1729.06,6574.88,10444.85,12271.12,15145.70,16942.76
199803,45.11,55.52,65.40,66.07,59.72,311.48,311.01,323.52,323.27,316.93,793.85,752.52,758.13,778.11,795.77,1838.79,2097.65,2029.45,2016.59,2028.67,9794.12,8185.29,17109.69,13272.44,18938.70
199804,48.83,65.11,64.71,72.37,69.27,342.98,346.34,328.40,336.68,330.65,854.44,802.22,822.95,816.86,825.25,2013.46,2237.30,2238.56,2260.45,2018.50,8775.35,10056.56,16159.69,19841.50,15695.02
199805,48.99,64.82,72.58,79.45,72.14,343.17,355.54,345.19,332.97,341.69,858.68,830.28,828.47,855.45,835.20,2124.94,2201.98,2330.51,2245.33,2129.26,8605.71,12480.17,19730.52,17234.66,12734.84
199806,49.36,67.02,74.01,79.68,70.68,356.08,355.71,344.32,349.08,346.64,862.00,840.90,875.00,842.49,864.85,2106.59,2278.09,2379.38,2145.58,2204.02,9136.11,16160.10,15804.37,17220.34,14042.32
199807,48.63,65.67,71.69,77.61,68.74,358.99,353.80,334.83,345.95,333.88,865.61,864.40,839.01,869.98,878.73,2142.65,2526.20,2364.94,2192.39,2152.98,12587.36,19451.62,14285.91,18373.82,13742.73
199808,48.46,63.79,70.65,75.93,72.79,364.58,352.02,350.10,365.70,342.82,893.93,929.95,872.22,883.22,889.24,2378.69,2655.97,2387.30,2223.16,2306.02,17668.84,14355.64,18277.97,16209.88,15503.88
199809,44.51,60.01,62.30,63.24,64.65,311.14,320.78,307.51,301.66,302.63,766.54,764.08,773.43,812.86,806.49,2193.90,1978.94,2253.08,2056.43,2068.09,12436.64,14133.33,15390.26,12808.83,17393.84
199810,44.87,52.90,53.45,60.03,58.60,307.20,301.75,283.81,280.60,290.09,735.73,753.85,714.41,728.59,765.18,2088.77,1945.32,2109.43,2014.20,2085.08,13930.10,12619.65,13718.28,16367.42,13546.94
199811,48.56,53.06,58.21,59.31,65.24,336.22,323.55,314.49,312.59,317.98,817.35,819.07,818.62,772.91,864.86,2378.90,2052.70,2378.04,2098.06,2341.65,11893.17,16067.22,17547.33,14409.73,17186.24
199812,48.80,56.19,60.00,67.57,72.36,353.53,349.19,339.96,332.53,327.24,871.46,861.71,849.10,870.92,874.70,2495.11,2491.68,2525.54,2487.31,2435.62,11878.01,17809.10,17526.72,19364.60,17219.22
199901,50.11,59.37,62.09,67.41,73.97,381.86,356.74,363.20,362.29,351.86,938.60,919.99,941.68,929.73,951.96,2643.77,2745.84,2735.99,2596.93,2843.30,11879.64,17562.32,21394.99,21676.44,19793.91
199902,50.99,60.21,60.17,73.52,66.96,373.13,364.19,360.20,368.75,349.39,918.57,951.92,859.37,947.66,981.10,2683.24,2624.78,2566.28,2571.86,3152.20,10332.96,19557.41,22303.78,15573.79,22976.02
199903,51.42,59.68,58.08,62.83,66.70,374.22,359.62,358.33,342.84,360.04,903.37,841.52,930.02,947.34,960.19,2571.89,2445.84,2637.11,2504.83,2939.31,11730.26,19736.98,20158.40,16229.51,21503.96
199904,50.84,62.40,57.89,58.99,66.67,376.78,360.77,358.95,354.48,362.43,866.95,906.22,938.59,986.08,983.36,2448.30,2730.19,2402.34,2741.74,3151.64,9289.48,17748.96,23168.57,18970.19,21541.48
199905,53.32,62.21,61.16,58.59,69.21,380.68,360.43,377.03,340.98,362.26,912.29,872.92,899.29,997.44,957.14,2504.52,2593.41,2561.79,2747.88,3151.12,10038.35,14253.22,20708.80,21219.26,23609.59
199906,51.09,60.66,58.20,62.98,66.54,349.99,343.50,326.61,344.34,378.20,864.52,862.77,806.99,898.44,895.92,2248.07,2337.36,2561.67,2520.90,2737.84,9077.13,14112.06,15264.72,20988.51,23567.03
199907,50.14,64.96,58.96,62.11,73.32,365.70,352.68,358.79,353.79,389.35,906.54,876.73,862.83,927.30,930.20,2633.99,2603.49,2534.23,2563.70,2706.20,12979.47,14923.29,19401.59,21982.82,21739.05
199908,51.55,64.63,58.80,63.07,78.59,360.80,358.01,380.78,371.20,371.23,891.11,887.49,931.71,877.37,928.06,2532.44,2507.68,2494.01,2657.17,2528.65,15658.65,13146.16,15291.05,26127.26,21253.42
199909,51.06,62.81,64.67,69.61,84.88,361.31,360.81,347.32,422.82,383.39,863.69,908.08,850.54,905.65,973.54,2462.16,2473.48,2598.17,2422.18,2733.42,13168.63,18238.61,18235.24,20267.49,23302.31
199910,49.70,66.52,63.98,76.04,86.35,358.66,361.83,396.53,392.91,380.85,873.79,837.45,873.51,917.52,999.60,2390.57,2729.29,2475.06,2473.91,2390.99,14615.16,14929.47,22535.69,19650.12,21953.24
199911,49.89,59.61,63.68,71.60,81.35,374.14,386.15,375.15,414.27,386.27,946.35,920.50,894.08,934.33,999.33,2621.62,2610.73,2718.79,2684.02,2364.93,15637.05,18582.04,20921.32,25888.70,20891.53
199912,52.78,65.64,62.46,68.21,87.28,392.66,384.26,395.14,424.12,401.54,937.91,968.53,951.19,965.02,1017.93,2951.87,2781.46,2649.50,2750.32,2402.35,16535.47,18347.66,20635.60,27611.10,24108.74
200001,55.78,65.94,67.76,74.20,102.69,438.06,411.69,439.54,436.89,459.16,1078.71,1048.31,1087.95,1168.17,1195.78,3267.93,3207.97,3323.33,3404.17,2874.61,17813.45,23548.16,20233.73,33802.16,31908.59
200002,54.09,64.00,66.14,73.08,100.08,378.82,413.63,421.22,409.51,417.34,919.17,975.78,974.49,1025.51,1016.08,2690.65,2857.58,2772.16,2948.16,2691.09,16313.95,20276.05,18544.21,30049.05,28927.91
200003,62.30,62.82,70.09,71.77,96.95,414.57,423.50,432.86,450.13,438.71,1106.95,999.24,1004.10,1053.23,1181.41,2959.53,3027.46,2793.43,3088.99,2865.66,17344.07,18655.70,25144.82,35877.38,29475.60
200004,60.87,70.11,66.62,69.37,97.04,453.91,420.60,447.46,429.85,446.91,1094.62,1039.12,988.31,1075.71,1138.22,3061.16,3430.26,2779.50,3095.48,3228.65,18060.63,24541.23,24290.25,24217.77,40004.91
200005,60.47,61.66,60.67,69.96,82.96,416.52,409.42,409.64,398.75,430.77,1036.92,1027.39,987.76,1037.80,1053.72,2995.40,3054.51,3133.19,2800.89,3149.99,15641.90,17946.99,31300.62,24521.95,33367.38
200006,56.96,61.53,68.22,68.86,80.12,397.77,405.15,408.97,414.38,433.31,1021.41,1021.52,987.15,1022.06,1022.73,2884.81,3050.80,3104.25,2997.72,3248.62,15666.83,15617.89,30812.22,32096.29,28910.48
200007,58.17,61.45,68.42,72.87,79.86,413.36,393.88,404.95,423.93,427.01,1050.56,1006.92,1047.51,1031.75,1026.95,2996.18,2949.65,2930.84,3141.77,3356.07,12123.18,20230.79,27824.85,30161.05,30368.42
200008,58.67,62.69,64.93,73.92,79.17,402.92,404.80,404.95,411.34,434.05,1055.51,1029.99,1025.15,991.45,1074.80,3118.15,3185.60,2975.44,3083.77,3367.15,14931.86,19733.57,28180.84,28254.86,29310.46
200009,60.82,58.49,67.72,71.85,78.29,413.23,402.45,414.47,409.81,423.62,1033.22,1005.49,1087.06,1014.61,1065.54,2978.09,2807.11,2962.78,3150.22,3354.10,12748.09,21652.09,31675.14,23582.88,29842.21
200010,54.01,60.28,67.65,69.79,77.74,390.15,379.49,393.35,406.04,412.82,983.07,957.16,1058.80,952.42,984.95,2842.19,2906.89,2663.73,3081.98,2961.72,12768.22,22810.66,26356.72,28024.67,22260.89
200011,52.18,56.91,59.89,67.97,75.71,391.84,380.23,382.03,407.91,396.29,981.59,1021.41,1030.32,988.32,967.35,2982.78,2565.97,2954.60,3097.29,3263.82,18633.14,23008.54,30336.84,28882.64,19244.27
200012,49.91,55.16,63.54,65.59,71.29,367.52,370.34,384.29,405.60,389.35,997.95,994.48,970.32,999.37,922.06,2794.53,2929.49,2903.59,3014.12,3069.90,17311.69,24774.09,26522.66,30304.29,13694.28
200101,52.78,61.10,62.66,74.60,72.87,405.40,414.70,438.21,416.23,427.00,1032.54,1160.76,1054.54,1059.63,1054.61,3227.48,3207.12,2839.40,3215.14,3386.46,24030.13,22860.47,30255.41,25144.85,17318.46
200102,52.39,62.82,70.95,77.19,75.92,411.47,423.89,431.21,441.58,407.27,1015.69,1047.93,1027.05,1083.82,1057.82,3187.76,2942.99,3230.15,3342.80,3254.07,30320.05,24037.27,22009.78,20574.39,26097.57
200103,48.48,58.51,66.14,72.45,68.85,387.22,369.35,399.01,385.56,379.94,928.36,989.27,949.56,978.96,1006.56,3070.89,2832.91,2896.86,2879.20,2961.42,24571.67,18228.33,22716.23,22868.46,17569.47
200104,44.85,54.63,57.43,67.20,60.98,352.14,341.50,362.70,334.04,357.85,866.67,914.85,897.98,954.21,909.70,2848.34,2759.41,2730.52,2629.65,2643.07,22490.53,21570.14,17582.22,21723.23,14104.88
200105,46.64,59.47,58.67,66.89,65.55,374.58,371.97,381.39,395.47,383.13,963.15,991.35,1010.43,1015.51,984.78,3268.75,2973.53,2771.64,2933.87,2973.96,26720.68,21797.08,22309.77,21219.98,15612.17
