TIME_PERIOD,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2020-09-07,1.3923218905376165,-1.9427180782074436,7.806448999804041,-10.632513889335511,2.8765360597054865,3.219954257556152
2020-09-08,1.5737244377141275,-2.1176010135826395,7.715392821064339,-10.719318309499045,3.4542385335654036,3.837371667355554
2020-09-09,1.5887140870506746,-2.132434001149222,7.739335437497792,-10.691044265480093,3.492948765393234,3.8575870541060686
2020-09-10,1.5748929189176297,-2.1209663581079226,7.7895389509648405,-10.636642425698229,3.5067232994062025,3.841109659505697
2020-09-11,1.5623520809023244,-2.1029235930620387,7.763303455762949,-10.66341366738461,3.5083016757494807,3.855724873143
2020-09-14,1.5121355363296283,-2.0301355362906834,7.821601370387266,-10.606947426539351,3.8554904035826163,4.104878915508352
2020-09-15,1.5315751823871038,-2.0525751823865854,7.818861295283663,-10.609416774813505,3.8536938938765126,4.111709959439034
2020-09-16,1.500035266600443,-2.01829881640843,7.801357974341449,-10.627202900637574,3.865196574024454,4.104737611573715
2020-09-17,1.5010597506272676,-2.0436184459122626,7.827939921825953,-10.600377056234057,3.836442921039743,4.109371401703883
2020-09-18,1.4339663140547132,-1.9599663140722652,7.900737925987872,-10.525129859638488,3.8851862080622004,4.071225674595458
2020-09-21,1.419349061725175,-1.9446904924471393,7.882907861232374,-10.543275761252461,3.880507944227947,4.088446882498161
2020-09-22,1.388495395645602,-1.9236252559452005,7.9358668125964895,-10.4891631211922,3.8810524663997557,4.062884678137222
2020-09-23,1.3430609667766713,-1.8686008253462254,7.962177473857445,-10.462003934834184,3.9066448587092237,4.035444864037062
2020-09-24,1.339634499393292,-1.861270562383265,7.962032584632768,-10.462349521576524,3.894419288883844,4.0509850370493625
2020-09-25,1.335458079236762,-1.8513718143843614,7.96134158403445,-10.463230468135455,3.8831848307227763,4.065715906345356
2020-09-28,1.2916355522383705,-1.861589220470503,7.855406505622214,-10.562962161768242,3.014348338408208,3.346373494096037
2020-09-29,1.2636617273013133,-1.82239630627847,7.860793618211996,-10.55714801686342,3.033072706597546,3.346507026344135
2020-09-30,1.2857206614573067,-1.8509295203211755,7.875526812013569,-10.542509213696977,3.099749865590118,3.4189322000574487
2020-10-01,1.2345731601042194,-1.7885731601029433,7.890854958834493,-10.525049075828571,2.8993192733093354,3.182753171922402
2020-10-02,1.1770756236516808,-1.7380756236248727,7.859266193418318,-10.555529036282346,2.704674329614232,2.9932427815991187
2020-10-05,1.1927915761970878,-1.7572814147522815,7.869238794023837,-10.542709751322805,2.7334347158063275,3.012763406351307
2020-10-06,1.191147632743208,-1.7694608513808363,7.866409779500091,-10.545923059918891,2.7333549898319847,3.0254666444112344
2020-10-07,1.1846530507184942,-1.7582059720643266,7.828868965874274,-10.573248763641415,2.5118571025766885,2.8012169915841203
2020-10-08,1.18359126443986,-1.7760495165288692,7.847530818624743,-10.553383684474523,2.667089947514975,2.968791305119821
2020-10-09,1.13105391461275,-1.7321038654420267,7.847891051401477,-10.550845236515812,2.613739937687304,2.9189743434423114
2020-10-12,1.1045814300162657,-1.7031342795163866,7.85391169567942,-10.54427488007499,2.6190769984151383,2.9136261696172325
2020-10-13,1.103224412905225,-1.7352141136221582,7.886823892103047,-10.50968588652059,2.6452015672877733,2.9649504552035304
2020-10-14,1.0713926285458681,-1.7126982053120428,7.876234877281714,-10.52089778147632,2.5497396838385575,2.8798840954064477
2020-10-15,1.084896120781827,-1.7219840230177266,7.8945249062465574,-10.500516972448716,2.6613600805852986,3.009825802459038
2020-10-16,1.0520654526172428,-1.6705561047326083,7.8411081937347555,-10.553368904613244,2.5684047940622206,2.896074828547711
2020-10-19,1.0752801834931136,-1.7139006031892519,7.827517895731893,-10.55102691290604,2.439275138065466,2.7853395914220296
2020-10-20,1.0221279741387468,-1.6593383689579513,7.839840834451063,-10.524569438429674,2.23103555925863,2.5542249335929643
2020-10-21,1.0659243501466804,-1.6999131290280838,7.840081230298894,-10.51230072330804,2.3154726496054385,2.626487702566129
2020-10-22,1.074541348095825,-1.722773019699629,7.868555117007803,-10.482267269595827,2.3503577417059804,2.6569287127419985
2020-10-23,1.0783876655860485,-1.720700140749081,7.858781464154313,-10.491661063473657,2.341813901041286,2.6417583608656043
2020-10-26,1.0647408881490357,-1.6867408881662476,7.895655040840675,-10.456560253526549,2.559233112546522,2.820427770323939
2020-10-27,1.0222666309351964,-1.6392666309418218,7.876567222562885,-10.474803764573615,2.510391467010942,2.7741726312244315
2020-10-28,1.008298764036812,-1.6362987640441544,7.877254209371646,-10.473990573971587,2.3665212229849435,2.645611998369282
2020-10-29,0.9804760332803,-1.6097635069391976,7.849675242339658,-10.516509978894153,2.279866511260456,2.563605694622805
2020-10-30,0.9730688014235465,-1.5960688014113977,7.855779819984113,-10.510368382483987,2.30653424233521,2.5831515857301635
2020-11-02,0.9601480224389384,-1.5839855291341622,7.833356486895896,-10.533386228210764,2.2037541954057653,2.486514427276759
2020-11-03,0.9430697773681538,-1.565469389036855,7.849747588806762,-10.51640941956852,2.218913645420006,2.4906973735243207
2020-11-04,1.0116517222705828,-1.610651722276449,7.800014849384934,-10.547498509306822,2.6425541006919477,2.9124650027671133
2020-11-05,0.9867204697638285,-1.5837204697667984,7.857317984058108,-10.478881654115249,2.702060035295952,2.9202855465594135
2020-11-06,1.0013648003530133,-1.5912000555578967,7.840847136495559,-10.49534663199043,2.695623994810402,2.914806989143725
2020-11-09,1.1404269725147065,-1.7225645004738628,7.839766522633046,-10.493039013904347,2.9023491690686694,3.105585551025133
2020-11-10,1.2169550256500778,-1.8066039778635685,7.811116870285491,-10.519274162568664,2.9092076555838493,3.1459308066212066
2020-11-11,1.193845135988559,-1.7891223915907999,7.807323698306978,-10.503147902681121,2.9701402999702275,3.2179465304239785
2020-11-12,1.1505436406879128,-1.7360480482585103,7.820080538297121,-10.489451825848153,2.9851292505905533,3.218136133324664
2020-11-13,1.0770812640359797,-1.6626392052444305,7.8798883756605544,-10.430057075662052,3.015519905812166,3.1999286755634033
2020-11-16,1.1147144582455955,-1.6973335841999175,7.812016875546533,-10.497915121575137,3.0024008437109546,3.2324046630838676
2020-11-17,1.0635349150367652,-1.6596678467545938,7.797477520341495,-10.512091609215958,2.735736374320437,3.014128669532653
2020-11-18,1.073198223660418,-1.6773334406740805,7.804539421664868,-10.5037464449829,2.7483768795333017,3.0241667482604595
2020-11-19,1.0597081416104261,-1.6676198057214668,7.815487732261905,-10.492224390427534,2.7580904329893134,3.041759297594718
2020-11-20,1.0691218211102327,-1.674076130990814,7.7871213421944665,-10.520731787351748,2.7764017965633934,3.05581858161867
2020-11-23,1.0952672550873748,-1.7029251394646825,7.762079196587205,-10.546098813085719,2.777384159267686,3.065844179209944
2020-11-24,1.0903604955869386,-1.6965255213980563,7.759448013868408,-10.548767783788902,2.7781512920732734,3.064980764376841
2020-11-25,1.0846709730533974,-1.6906603848445043,7.762979730098252,-10.544955454349127,2.7754733685614155,3.065492045347316
2020-11-26,1.0762369565914762,-1.680236956567986,7.773656111910829,-10.534268544322702,2.842483879004808,3.1184861305919562
2020-11-27,1.0586279905746638,-1.672144927868271,7.771598873407878,-10.536792012274274,2.7331187113375757,3.016285927475417
2020-11-30,1.0719638896183927,-1.6916725399843657,7.770947387442517,-10.53779952026033,2.7235387397157838,3.0181514571469785
2020-12-01,1.0982374972534894,-1.7295123185315817,7.781336233120361,-10.526685784105556,2.5735629788791123,2.881823760090128
2020-12-02,1.1503620350465475,-1.7643620350405194,7.785912599998869,-10.517392592277146,2.81591054161425,3.086752208851762
2020-12-03,1.1392670452607814,-1.7702670452605027,7.782556817919212,-10.501124499522703,2.900787933822819,3.202841556200318
2020-12-04,1.1342897064931379,-1.8092813871407667,7.777320209268358,-10.509170508126935,2.703813237768491,3.0573224549720717
2020-12-07,1.1145819867454572,-1.7882192841500597,7.7686883153242,-10.5162976565005,2.7276193443242076,3.080017199906035
2020-12-08,1.1502281045076606,-1.824131683222812,7.728655443876816,-10.550266655146027,2.9262789979423633,3.3046426740562653
2020-12-09,1.1610826971855341,-1.8280262289580893,7.719437686498133,-10.559228169693428,2.972615224719161,3.332677227741524
2020-12-10,1.1171909435191492,-1.7939467103008195,7.741228786209522,-10.538211529172777,2.795500924952394,3.17005617184855
2020-12-11,1.0684639853605582,-1.7465838751915141,7.717157906673771,-10.547477615253273,2.7222249489486896,3.099342118266721
2020-12-14,1.0283276839472026,-1.7143276839605808,7.718544910343371,-10.538450545499916,2.4457992363849383,2.813746310670221
2020-12-15,1.0921919443644783,-1.7705894456985558,7.710986928380084,-10.543459474000588,2.8237252758967046,3.197189765694544
2020-12-16,1.118678802116532,-1.764678802122006,7.745551328156552,-10.504435262099516,2.9470365678438903,3.246471891348668
2020-12-17,0.9953936356000742,-1.6473936355926608,7.725567742945415,-10.523849418203108,2.4544667951209833,2.7614410775170906
2020-12-18,1.0871294518654147,-1.7281294518615273,7.69122880414852,-10.557961891476369,2.6101185809141914,2.9236759412674758
2020-12-21,1.047831230172465,-1.7355871392127333,7.742123689749569,-10.5065459835867,2.394136825237169,2.7406973473359484
2020-12-22,1.1485592326187395,-1.8215592326448673,7.718786667418105,-10.530058712284816,2.7286704165746833,3.083833684820278
2020-12-23,1.0889128755245716,-1.7619128755125844,7.756735982155739,-10.483511084286098,2.4730945038511076,2.7943658640174287
2020-12-28,1.082877747707437,-1.7648070767975497,11.074497115552457,-13.741215861688975,2.592889975538906,2.82911644677386
2020-12-29,0.992685445801064,-1.6938018152815206,11.102280889810505,-13.710920852990395,2.372182239744537,2.6222754820319802
2020-12-30,0.9890275874869985,-1.6783603847144815,11.09821086231111,-13.715138739924987,2.417859379639513,2.664517475739059
2021-01-04,1.1265963358659619,-1.7152721013473309,6.244952480660504,-9.070050570041802,2.962002681832024,3.270509145053554
2021-01-05,1.0194195415395635,-1.6285653601769399,6.301711877720714,-9.010748846527088,2.60574036523072,2.9640610472728897
2021-01-06,1.109278207673832,-1.7272782076735111,6.215261865245664,-9.098896651978679,2.5838222115323104,3.022051951047873
2021-01-07,1.1006791288611737,-1.7156791288718016,6.268395979841562,-9.041997409649468,2.7499710246049145,3.1444690146731213
2021-01-08,1.139168772473643,-1.7391687724148415,6.190423775209519,-9.116881258336049,2.863658845571048,3.2893249636450808
2021-01-11,1.178895256013326,-1.7828952560134461,6.179790738197155,-9.121116179322177,2.766255960371622,3.2189923677200722
2021-01-12,1.2616552606190161,-1.8476552606295993,6.13086943115795,-9.171277923892287,2.7714308717287093,3.252652475559862
2021-01-13,1.2223298647443805,-1.7976403354130681,6.134835974629625,-9.15983319075274,2.8063789421975045,3.28418000169711
2021-01-14,1.2233208408644367,-1.7863208408713676,6.106013556928193,-9.206246303988095,2.822318427394415,3.321054690083384
2021-01-15,1.2301438740756536,-1.800143874079152,6.105119586985708,-9.199306878174921,2.8393719055573134,3.315724846289293
2021-01-18,1.1279355524034702,-1.707935552404862,6.219239833734151,-9.046262357869637,2.5946310041131504,2.9949521474069303
2021-01-19,1.124157672440858,-1.7041576724363416,6.21941733446827,-9.045651854348817,2.613175395564511,3.000701857407067
2021-01-20,1.1099601720328263,-1.687960172046392,6.219768704209859,-9.044541202905053,2.6010527272220876,2.9971269711163897
2021-01-21,1.1203600958390398,-1.6903600958441818,6.202886357845328,-9.061239412494428,2.44683892885984,2.8295384791186367
2021-01-22,1.1695394987680172,-1.730539498728948,6.178739229122919,-9.086334902514537,2.514203220295883,2.9246636233443084
2021-01-25,1.211169548895642,-1.782169548879657,6.088964934262716,-9.15346986488535,2.6823894553038814,3.1625844436183064
2021-01-26,1.1844079918138732,-1.7554079918950307,6.08614216507316,-9.157537992443906,2.5739370846041685,3.03461575932555
2021-01-27,1.1874101810051445,-1.747410180999958,6.069170560466355,-9.174421980379703,2.6503997867833546,3.0773166457718832
2021-01-28,1.215717419896039,-1.7727174198721165,6.074746307869083,-9.167103642981429,2.747855299262779,3.1515442747853166
2021-01-29,1.2275250599456153,-1.7955308028513617,6.048457180262701,-9.195265344699866,2.548661110836599,2.9852294661436805
2021-02-01,1.236461572148278,-1.8017543205150366,6.067476699902668,-9.175870892002186,2.6735182423328574,3.085531485112624
2021-02-02,1.2570974168503255,-1.8230116547945625,6.076839796684305,-9.166308850365736,2.6731818150215108,3.084176528239305
2021-02-03,1.3004684130020125,-1.8687177076791945,6.105087464977418,-9.136116961213236,2.926568610003174,3.308073747981507
2021-02-04,1.3362242199342167,-1.9005617609779186,6.101979684106589,-9.11696592072991,2.9742978898691015,3.3135909486257127
2021-02-05,1.3240024701363673,-1.8817319571010285,6.092352446426937,-9.126772397251939,2.981334799739617,3.307356412724141
2021-02-08,1.3549604405418025,-1.9186508653809349,6.094472564344596,-9.124356263568954,2.9774079614973687,3.2925846029805768
2021-02-09,1.3466237076665888,-1.9129109417777368,6.078660891336999,-9.140527869569132,2.972314517318786,3.3048736463212665
2021-02-10,1.3145083236391975,-1.878389281457273,6.06337479969435,-9.157735035359861,2.81914270580347,3.1638679370470952
2021-02-11,1.3261507326311235,-1.8788148320153988,6.092656126387887,-9.127401744935383,3.0718296133701353,3.36013203086397
2021-02-12,1.3414673278410336,-1.8974673278381409,6.089265712202206,-9.109622589038603,2.906406067684335,3.1845009511394347
2021-02-15,1.366668028319736,-1.9186680283197348,6.116915054864492,-9.080515197170016,2.9227822806988195,3.176366339398473
2021-02-16,1.3618673360731932,-1.9118673360705079,6.118506205132991,-9.079325789213613,2.79554425040324,3.05270783159357
2021-02-17,1.3756986076260431,-1.912040066276212,6.119453885031349,-9.077931772704268,2.8060683016484806,3.037578714943937
2021-02-18,1.4385252427398396,-1.952525242744553,6.104830414113264,-9.090772671388674,2.826803221338773,3.053486779037426
