"CURRENCY","TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"EUR",2015-09-28,2.4633853453167,-2.54076470924811,42.7492040556456,-43.5912749709437,4.59884840647364,4.32522194767441
"EUR",2015-09-29,2.46205799374872,-2.5573153342421,42.7468476565597,-43.5933383123734,4.58518040895441,4.32466047342779
"EUR",2015-09-30,2.52172243112546,-2.59892716415371,42.5918102593969,-43.747324601588,4.43107228207037,4.19380429809426
"EUR",2015-10-01,2.5181043219743,-2.60677332620427,42.5504614729524,-43.7888384407371,4.47914467322728,4.24640569325462
"EUR",2015-10-02,2.34026782588075,-2.43246392084778,42.7531071772052,-43.5856055224949,4.77684576992159,4.49707172994469
"EUR",2015-10-05,2.37780542071275,-2.47061555432095,42.7791502811145,-43.5590401938027,4.77516588726202,4.48667004407468
"EUR",2015-10-06,2.42763329683821,-2.52006897467862,42.8156548436048,-43.5264075956603,4.74620646570263,4.45152293279983
"EUR",2015-10-07,2.40518742026152,-2.49538606346499,42.8167067144557,-43.5252937617344,4.71869331297208,4.42548241543994
"EUR",2015-10-08,2.45154348038899,-2.54744081567185,42.6793875893919,-43.6611577106044,4.58906899386311,4.32636115661222
"EUR",2015-10-09,2.45866517456318,-2.55428735287479,42.6926880270871,-43.6475510609142,4.56003226408867,4.29660552576416
"EUR",2015-10-12,2.45075569945787,-2.54163918685674,42.6624396275955,-43.6775575659049,4.57252923874779,4.3139277886741
"EUR",2015-10-13,2.49462775816874,-2.59316498974584,42.6569264952583,-43.6830640864585,4.61062774719435,4.35480025014838
"EUR",2015-10-14,2.45754012934146,-2.53885864614311,42.6311352517603,-43.7087841838879,4.60680127956252,4.346160008026
"EUR",2015-10-15,2.46802555096574,-2.56143089606545,42.6320214803793,-43.7078612523594,4.60659787713482,4.34709216736063
"EUR",2015-10-16,2.44772339924221,-2.53569633104249,42.6255927071964,-43.7142176920339,4.59049739615431,4.33203802032655
"EUR",2015-10-19,2.55527274702695,-2.64018813222123,42.4597534468808,-43.8787113591585,4.4790968122802,4.24853133128691
"EUR",2015-10-20,2.547667679728,-2.66109018875413,42.6646137952693,-43.6735030701574,4.64703632757867,4.39725755051302
