TIME_PERIOD,Portfolio,Weight,Portfolio strategy,Historical return,Historical variance
2012-10-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.16393189384746742,1.1373627128419035
2012-11-30,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.17111224552789883,1.1096864941877282
2012-12-31,"{""MOM"",""EU""}",9.083935594838246e-17,Global Minimum Variance portfolio,0.17915976859705088,1.1099635487075377
2013-01-31,"{""MOM"",""EU""}",4.175287953410044e-17,Global Minimum Variance portfolio,0.17022764501039628,1.1096653609084182
2013-02-28,"{""MOM"",""EU""}",1.1111120105606967e-16,Global Minimum Variance portfolio,0.19731727413810957,1.1455740660015865
2013-03-31,"{""MOM"",""EU""}",6.7220534694101275e-18,Global Minimum Variance portfolio,0.18181476828117035,1.1023004185612848
2013-04-30,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.08205755838578317,0.9534318543196841
2013-05-31,"{""MOM"",""EU""}",4.5536491244391186e-17,Global Minimum Variance portfolio,0.1543977798472336,0.9299370708862464
2013-06-30,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.20511871658065595,0.8736969063603935
2013-07-31,"{""MOM"",""EU""}",7.595920420433444e-16,Global Minimum Variance portfolio,0.21593928442627766,0.8879835592939729
2013-08-31,"{""MOM"",""EU""}",1.0845573846069778e-15,Global Minimum Variance portfolio,0.2715372056324533,0.8924888944887102
2013-09-30,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.2799363306695317,0.9396153905120338
2013-10-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.26238885644899534,0.9245249646511634
2013-11-30,"{""MOM"",""EU""}",2.116227115420144e-17,Global Minimum Variance portfolio,0.26795239002006344,0.8984807759033342
2013-12-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.2422488932806514,0.8643869456819114
2014-01-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.3123274250012723,0.9284765329762179
2014-02-28,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.32015317033369195,0.9416854683041627
2014-03-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.2434060106165422,0.9209519551366889
2014-04-30,"{""MOM"",""EU""}",2.567255219174114e-16,Global Minimum Variance portfolio,0.24856542660940759,1.056037032062421
2014-05-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.2565057688292821,1.0501374601727396
2014-06-30,"{""MOM"",""EU""}",4.725427406142291e-17,Global Minimum Variance portfolio,0.3455737787572466,1.0059258619596818
2014-07-31,"{""MOM"",""EU""}",4.796510411075872e-16,Global Minimum Variance portfolio,0.35984788730296274,1.0368001631857482
2014-08-31,"{""MOM"",""EU""}",2.2497195079074217e-17,Global Minimum Variance portfolio,0.5124153224674788,0.8784168399667474
2014-09-30,"{""MOM"",""EU""}",9.250955036732567e-17,Global Minimum Variance portfolio,0.5739524751152553,0.6545507894370545
2014-10-31,"{""MOM"",""EU""}",3.2013105268195455e-17,Global Minimum Variance portfolio,0.5364388502190113,0.6833595662902096
2014-11-30,"{""MOM"",""EU""}",2.054751032252828e-17,Global Minimum Variance portfolio,0.5452179609315508,0.6779449879760867
2014-12-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.5695326184168287,0.6934322931570103
2015-01-31,"{""MOM"",""EU""}",0.0,Global Minimum Variance portfolio,0.5923076577819578,0.736647788889373
2015-02-28,"{""MOM"",""EU""}",4.1343596775544623e-17,Global Minimum Variance portfolio,0.5653847946999897,0.7721147009626805
2015-03-31,"{""MOM"",""EU""}",6.148103944350614e-17,Global Minimum Variance portfolio,0.5879979407549956,0.7821660988567902
2015-04-30,"{""MOM"",""EU""}",0.014505438139994472,Global Minimum Variance portfolio,0.5035210306964365,0.8030998639285227
2015-05-31,"{""MOM"",""EU""}",0.057021595315760384,Global Minimum Variance portfolio,0.6370644957943651,0.8835002368522777
2015-06-30,"{""MOM"",""EU""}",0.11925318579918273,Global Minimum Variance portfolio,0.6671179768196609,0.7738882770667113
2015-07-31,"{""MOM"",""EU""}",0.16381594176089861,Global Minimum Variance portfolio,0.7018948206298213,0.7896163946152307
2015-08-31,"{""MOM"",""EU""}",0.19384008139705328,Global Minimum Variance portfolio,0.719950626211397,0.7640281538488678
2015-09-30,"{""MOM"",""EU""}",0.19537547254025114,Global Minimum Variance portfolio,0.7046604525750397,0.7630856416055829
2015-10-31,"{""MOM"",""EU""}",0.17987714736740673,Global Minimum Variance portfolio,0.7349479057235855,0.7406127006350176
2015-11-30,"{""MOM"",""EU""}",0.14463414470370628,Global Minimum Variance portfolio,0.7725632347825732,0.6865678431971549
2015-12-31,"{""MOM"",""EU""}",0.13731181479940763,Global Minimum Variance portfolio,0.7612165391481197,0.6803035415942529
