TIME_PERIOD,Portfolio,Region,Return_EUR,Return_RF_EU
2021-02-28,Tech Stocks,US,-0.216668591700369,-0.043637976929376876
2021-02-28,Market_Return,EU,2.693490542254112,-0.043637976929376876
2021-02-28,Market_Return,US,3.099134019659048,-0.043637976929376876
2021-02-28,Tech Stocks,EU,1.7057074498803644,-0.043637976929376876
2021-02-28,Small Cap,US,9.848094449164252,-0.043637976929376876
2021-02-28,Small Cap,EU,4.723819599527636,-0.043637976929376876
2021-02-28,BIG HiPRIOR,EU,1.7057074498803644,-0.043637976929376876
2021-02-28,BIG LoPRIOR,EU,6.691870307730383,-0.043637976929376876
2021-02-28,ME1 PRIOR2,EU,3.237600858015014,-0.043637976929376876
2021-02-28,ME2 PRIOR2,EU,0.4942100486758534,-0.043637976929376876
2021-02-28,SMALL HiPRIOR,EU,3.3277122349641104,-0.043637976929376876
2021-02-28,SMALL LoPRIOR,EU,7.402748948106577,-0.043637976929376876
2021-02-28,BIG HiPRIOR,US,-0.216668591700369,-0.043637976929376876
2021-02-28,BIG LoPRIOR,US,9.785694249649367,-0.043637976929376876
2021-02-28,ME1 PRIOR2,US,10.186189258312012,-0.043637976929376876
2021-02-28,ME2 PRIOR2,US,4.749469515716527,-0.043637976929376876
2021-02-28,SMALL HiPRIOR,US,7.072340565959891,-0.043637976929376876
2021-02-28,SMALL LoPRIOR,US,12.889530566784913,-0.043637976929376876
2021-03-31,RF,US,3.3773987206822937,-0.04928013382702223
2021-03-31,RF,EU,-0.04928013382702223,-0.04928013382702223
2021-03-31,Tech Stocks,EU,5.724065671641782,-0.04928013382702223
2021-03-31,Small Cap,US,6.205974734676215,-0.04928013382702223
2021-03-31,Market_Return,US,6.8203246438525555,-0.04928013382702223
2021-03-31,Small Cap,EU,5.478860693059207,-0.04928013382702223
2021-03-31,Tech Stocks,US,2.8708494669509577,-0.04928013382702223
2021-03-31,Market_Return,EU,6.681948203334349,-0.04928013382702223
2021-03-31,BIG HiPRIOR,EU,5.724065671641782,-0.04928013382702223
2021-03-31,BIG LoPRIOR,EU,6.737164179104482,-0.04928013382702223
2021-03-31,ME1 PRIOR2,EU,6.034197867803826,-0.04928013382702223
2021-03-31,ME2 PRIOR2,EU,7.6055343283582175,-0.04928013382702223
2021-03-31,SMALL HiPRIOR,EU,4.121715991471206,-0.04928013382702223
2021-03-31,SMALL LoPRIOR,EU,6.530409381663105,-0.04928013382702223
2021-03-31,BIG HiPRIOR,US,2.8708494669509577,-0.04928013382702223
2021-03-31,BIG LoPRIOR,US,10.624154371002135,-0.04928013382702223
2021-03-31,ME1 PRIOR2,US,7.491819189765465,-0.04928013382702223
2021-03-31,ME2 PRIOR2,US,9.424976545842213,-0.04928013382702223
2021-03-31,SMALL HiPRIOR,US,3.522127078891259,-0.04928013382702223
2021-03-31,SMALL LoPRIOR,US,8.411878038379527,-0.04928013382702223
2021-04-30,RF,EU,-0.047425893118846374,-0.047425893118846374
2021-04-30,RF,US,-2.9548088064889697,-0.047425893118846374
2021-04-30,Market_Return,EU,2.1662512061988335,-0.047425893118846374
2021-04-30,Tech Stocks,EU,1.8198146002317657,-0.047425893118846374
2021-04-30,Small Cap,EU,3.5208573892511024,-0.047425893118846374
2021-04-30,Small Cap,US,-1.4232613406769712,-0.047425893118846374
2021-04-30,Tech Stocks,US,1.771292004635015,-0.047425893118846374
2021-04-30,Market_Return,US,1.970752655643575,-0.047425893118846374
2021-04-30,BIG HiPRIOR,EU,1.8198146002317657,-0.047425893118846374
2021-04-30,BIG LoPRIOR,EU,1.72276940903825,-0.047425893118846374
2021-04-30,ME1 PRIOR2,EU,3.0814020857474134,-0.047425893118846374
2021-04-30,ME2 PRIOR2,EU,2.4409038238702436,-0.047425893118846374
2021-04-30,SMALL HiPRIOR,EU,4.993192352259584,-0.047425893118846374
2021-04-30,SMALL LoPRIOR,EU,1.8586326767091634,-0.047425893118846374
2021-04-30,BIG HiPRIOR,US,1.771292004635015,-0.047425893118846374
2021-04-30,BIG LoPRIOR,US,0.6843858632676927,-0.047425893118846374
2021-04-30,ME1 PRIOR2,US,-0.878041714947841,-0.047425893118846374
2021-04-30,ME2 PRIOR2,US,3.2949015063731366,-0.047425893118846374
2021-04-30,SMALL HiPRIOR,US,-1.178881807647727,-0.047425893118846374
2021-04-30,SMALL LoPRIOR,US,-2.4695828505214195,-0.047425893118846374
2021-05-31,RF,US,-0.9753298909925405,-0.04846974946943927
2021-05-31,RF,EU,-0.04846974946943927,-0.04846974946943927
2021-05-31,Small Cap,US,0.4046082225987308,-0.04846974946943927
2021-05-31,Market_Return,US,-0.6178798638315531,-0.04846974946943927
2021-05-31,Small Cap,EU,2.855173822697192,-0.04846974946943927
2021-05-31,Market_Return,EU,3.5003465793713415,-0.04846974946943927
2021-05-31,Tech Stocks,EU,3.9660011474469314,-0.04846974946943927
2021-05-31,Tech Stocks,US,-2.381480206540445,-0.04846974946943927
2021-05-31,BIG HiPRIOR,EU,3.9660011474469314,-0.04846974946943927
2021-05-31,BIG LoPRIOR,EU,2.94604704532415,-0.04846974946943927
2021-05-31,ME1 PRIOR2,EU,3.5005851979345977,-0.04846974946943927
2021-05-31,ME2 PRIOR2,EU,3.827366609294316,-0.04846974946943927
2021-05-31,SMALL HiPRIOR,EU,2.8074125071715343,-0.04846974946943927
2021-05-31,SMALL LoPRIOR,EU,2.272679288582907,-0.04846974946943927
2021-05-31,BIG HiPRIOR,US,-2.381480206540445,-0.04846974946943927
2021-05-31,BIG LoPRIOR,US,-1.1634767641996433,-0.04846974946943927
2021-05-31,ME1 PRIOR2,US,0.7377969018932902,-0.04846974946943927
2021-05-31,ME2 PRIOR2,US,0.17335628227193922,-0.04846974946943927
2021-05-31,SMALL HiPRIOR,US,1.203212851405624,-0.04846974946943927
2021-05-31,SMALL LoPRIOR,US,-1.1139644291451418,-0.04846974946943927
2021-06-30,RF,US,2.667452036351392,-0.048862675481917583
2021-06-30,RF,EU,-0.048862675481917583,-0.048862675481917583
2021-06-30,Market_Return,US,5.403745593428761,-0.048862675481917583
2021-06-30,Small Cap,US,4.56464351505285,-0.048862675481917583
2021-06-30,Tech Stocks,EU,0.1931664422753272,-0.048862675481917583
2021-06-30,Tech Stocks,US,6.0144109727364565,-0.048862675481917583
2021-06-30,Small Cap,EU,-0.015402599263842243,-0.048862675481917583
2021-06-30,Market_Return,EU,0.9518869671204644,-0.048862675481917583
2021-06-30,BIG HiPRIOR,EU,0.1931664422753272,-0.048862675481917583
2021-06-30,BIG LoPRIOR,EU,3.0165213732749834,-0.048862675481917583
2021-06-30,ME1 PRIOR2,EU,-0.47417199596095827,-0.048862675481917583
2021-06-30,ME2 PRIOR2,EU,-0.012168461797372743,-0.048862675481917583
2021-06-30,SMALL HiPRIOR,EU,0.6038362504207271,-0.048862675481917583
2021-06-30,SMALL LoPRIOR,EU,-0.35097105351734115,-0.048862675481917583
2021-06-30,BIG HiPRIOR,US,6.0144109727364565,-0.048862675481917583
2021-06-30,BIG LoPRIOR,US,4.0123956580276,-0.048862675481917583
2021-06-30,ME1 PRIOR2,US,2.5955848199259464,-0.048862675481917583
2021-06-30,ME2 PRIOR2,US,6.250546112420054,-0.048862675481917583
2021-06-30,SMALL HiPRIOR,US,6.9692182766745105,-0.048862675481917583
2021-06-30,SMALL LoPRIOR,US,4.72080107707842,-0.048862675481917583
2021-07-31,RF,EU,-0.05004648362152786,-0.05004648362152786
2021-07-31,RF,US,-0.05886805146749907,-0.05004648362152786
2021-07-31,Small Cap,US,-3.625120014756968,-0.05004648362152786
2021-07-31,Market_Return,EU,2.0857546750251044,-0.05004648362152786
2021-07-31,Market_Return,US,1.5223829222456842,-0.05004648362152786
2021-07-31,Tech Stocks,EU,3.5789891514590835,-0.05004648362152786
2021-07-31,Small Cap,EU,2.352743540108443,-0.05004648362152786
2021-07-31,Tech Stocks,US,-0.6785030695483982,-0.05004648362152786
2021-07-31,BIG HiPRIOR,EU,3.5789891514590835,-0.05004648362152786
2021-07-31,BIG LoPRIOR,EU,1.1903960978891632,-0.05004648362152786
2021-07-31,ME1 PRIOR2,EU,2.739483643091404,-0.05004648362152786
2021-07-31,ME2 PRIOR2,EU,1.8200252291649122,-0.05004648362152786
2021-07-31,SMALL HiPRIOR,EU,3.2192010764443637,-0.05004648362152786
2021-07-31,SMALL LoPRIOR,EU,0.4608258346648739,-0.05004648362152786
2021-07-31,BIG HiPRIOR,US,-0.6785030695483982,-0.05004648362152786
2021-07-31,BIG LoPRIOR,US,2.1998015305693457,-0.05004648362152786
2021-07-31,ME1 PRIOR2,US,-2.247578841140353,-0.05004648362152786
2021-07-31,ME2 PRIOR2,US,2.0398957194516782,-0.05004648362152786
2021-07-31,SMALL HiPRIOR,US,-5.235818686401487,-0.05004648362152786
2021-07-31,SMALL LoPRIOR,US,-3.7666840467580442,-0.05004648362152786
2021-08-31,RF,US,0.48166300490113656,-0.0519775867978256
2021-08-31,RF,EU,-0.0519775867978256,-0.0519775867978256
2021-08-31,Small Cap,US,2.5543086113406424,-0.0519775867978256
