TIME_PERIOD,Value,Portfolio name
2020-08-31,275.5370252224686,Global Minimum Variance portfolio
2020-09-30,277.73736769855486,Global Minimum Variance portfolio
2020-10-31,265.9940771722664,Global Minimum Variance portfolio
2020-11-30,285.34243305819933,Global Minimum Variance portfolio
2020-12-31,295.26237867208124,Global Minimum Variance portfolio
2021-01-31,297.41237829771586,Global Minimum Variance portfolio
2021-02-28,302.48536339123757,Global Minimum Variance portfolio
2021-03-31,319.79982423888055,Global Minimum Variance portfolio
2021-04-30,325.61958813191933,Global Minimum Variance portfolio
2021-05-31,338.5336647335444,Global Minimum Variance portfolio
2021-06-30,339.1875981697693,Global Minimum Variance portfolio
2021-07-31,351.3270855111388,Global Minimum Variance portfolio
2021-08-31,355.20801775653575,Global Minimum Variance portfolio
2021-09-30,342.4467946933852,Global Minimum Variance portfolio
2021-10-31,358.96134062452165,Global Minimum Variance portfolio
2021-11-30,347.60019681904555,Global Minimum Variance portfolio
2021-12-31,360.1742763950881,Global Minimum Variance portfolio
2022-01-31,333.5149032276944,Global Minimum Variance portfolio
2022-02-28,317.59632166932084,Global Minimum Variance portfolio
2022-03-31,327.2346066882698,Global Minimum Variance portfolio
2022-04-30,326.73483245029536,Global Minimum Variance portfolio
2022-05-31,322.31401024100177,Global Minimum Variance portfolio
2022-06-30,305.4141905163775,Global Minimum Variance portfolio
2022-07-31,319.7878491168382,Global Minimum Variance portfolio
2022-08-31,313.0436768985754,Global Minimum Variance portfolio
2022-09-30,292.94649727988156,Global Minimum Variance portfolio
2022-10-31,306.77367311414196,Global Minimum Variance portfolio
2022-11-30,322.43569663057264,Global Minimum Variance portfolio
2022-12-31,312.9552552291928,Global Minimum Variance portfolio
2023-01-31,324.9972115024887,Global Minimum Variance portfolio
2023-02-28,326.67572936389536,Global Minimum Variance portfolio
2023-03-31,322.45023047850555,Global Minimum Variance portfolio
2023-04-30,331.577941437092,Global Minimum Variance portfolio
2023-05-31,332.4468637705038,Global Minimum Variance portfolio
2023-06-30,347.6334881707153,Global Minimum Variance portfolio
2023-07-31,349.01777577092673,Global Minimum Variance portfolio
2023-08-31,343.4624540921604,Global Minimum Variance portfolio
2023-09-30,332.3248438501124,Global Minimum Variance portfolio
2023-10-31,322.58214781255276,Global Minimum Variance portfolio
2023-11-30,349.93041236291594,Global Minimum Variance portfolio
2023-12-31,359.4237654197809,Global Minimum Variance portfolio
2024-01-31,370.08700050703555,Global Minimum Variance portfolio
2024-02-29,389.88911288185716,Global Minimum Variance portfolio
2024-03-31,404.75078461655806,Global Minimum Variance portfolio
2024-04-30,393.64480400464197,Global Minimum Variance portfolio
2024-05-31,412.7125919850551,Global Minimum Variance portfolio
2024-06-30,416.7105242020558,Global Minimum Variance portfolio
2024-07-31,413.9707425817114,Global Minimum Variance portfolio
2024-08-31,417.5023885313798,Global Minimum Variance portfolio
2024-09-30,417.8000737923055,Global Minimum Variance portfolio
2024-10-31,414.9414660167544,Global Minimum Variance portfolio
2024-11-30,432.5627628758818,Global Minimum Variance portfolio
2024-12-31,429.4962793459283,Global Minimum Variance portfolio
2007-09-30,100.87900635257441,Risk Parity
2007-10-31,103.08486364823698,Risk Parity
2007-11-30,95.81537000008423,Risk Parity
2007-12-31,95.14158456972874,Risk Parity
2008-01-31,86.26158201361356,Risk Parity
2008-02-29,84.85350121267817,Risk Parity
2008-03-31,81.19361725619487,Risk Parity
2008-04-30,86.2692686430649,Risk Parity
2008-05-31,88.37985595662585,Risk Parity
2008-06-30,80.41542108774989,Risk Parity
2008-07-31,79.19537075392108,Risk Parity
2008-08-31,82.58447139199471,Risk Parity
2008-09-30,74.24532522867406,Risk Parity
2008-10-31,66.94719428268782,Risk Parity
2008-11-30,61.21185521654008,Risk Parity
2008-12-31,58.17022086904603,Risk Parity
2009-01-31,57.513584667322384,Risk Parity
2009-02-28,52.54875829636094,Risk Parity
2009-03-31,53.59828168704509,Risk Parity
2009-04-30,59.91829402906922,Risk Parity
2009-05-31,61.05207186080408,Risk Parity
2009-06-30,61.17193971527327,Risk Parity
2009-07-31,66.30206054557239,Risk Parity
2009-08-31,68.03933172541554,Risk Parity
2009-09-30,69.55364689166913,Risk Parity
2009-10-31,67.3006040096196,Risk Parity
2009-11-30,68.84699090331362,Risk Parity
2009-12-31,73.68990219261818,Risk Parity
2010-01-31,72.42236759711466,Risk Parity
2010-02-28,75.27443283291139,Risk Parity
2010-03-31,81.96840843908124,Risk Parity
2010-04-30,84.2205625728932,Risk Parity
2010-05-31,81.79784082677406,Risk Parity
2010-06-30,78.96729872438863,Risk Parity
2010-07-31,81.4304807146882,Risk Parity
2010-08-31,79.83190355238419,Risk Parity
2010-09-30,82.93482163683036,Risk Parity
2010-10-31,85.33726766470328,Risk Parity
2010-11-30,89.08998198831061,Risk Parity
2010-12-31,93.87880825090753,Risk Parity
2011-01-31,93.19884004877729,Risk Parity
2011-02-28,95.35924622653816,Risk Parity
2011-03-31,93.7727404297209,Risk Parity
2011-04-30,94.53365480541224,Risk Parity
